season,week,team,conference,logo,games,prior_weight,power_pts,off_pts,def_pts,power_rank,off_rank,def_rank,off_wepa,off_pass_epa,off_rush_epa,off_eckel_rate,off_eckel_rate_oe,def_wepa,def_pass_epa,def_rush_epa,def_eckel_rate,def_eckel_rate_oe,adj_off_rush_epa,adj_def_rush_epa,adj_off_pass_epa,adj_def_pass_epa,off_wepa_rank,off_pass_epa_rank,off_rush_epa_rank,off_eckel_rate_rank,def_wepa_rank,def_pass_epa_rank,def_rush_epa_rank,def_eckel_rate_rank,power_change,rank_change
2025,12,Indiana,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,11,0,15.640544626282392,11.520882235800249,4.119662390482142,1,1,16,4.869846751774353,0.5412084235061951,0.23495274178957676,0.6028368794326241,0.2560202474055361,-1.3473115007214098,0.08449680706347061,0.007307165709611762,0.32298136645962733,-0.020908748854407588,0.06307820744654434,-0.06049747652228974,0.17609737885133692,-0.06637498105094405,2,2,25,10,13,18,12,6,-0.1150019709849488,1
2025,12,Notre Dame,FBS Independents,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,10,0,15.5161317602816,8.16990419025615,7.346227570025449,2,7,3,4.5048540929252585,0.434778821667563,0.21288655926169553,0.5652173913043478,0.2219614262323562,-1.2353849448811314,0.10809720649895842,0.05495673575014177,0.4642857142857143,0.12302854381742372,0.041974382161072174,-0.0520394037269323,0.09895909876327567,-0.11454527619323195,5,10,32,20,26,29,30,86,-1.0944472050601632,-1
2025,12,Oregon,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,10,0,14.654251324105033,8.926802373683195,5.727448950421838,3,5,8,4.167365000836393,0.3784189746388156,0.2907368492213736,0.5461538461538461,0.18541282975739437,-1.3156933342914285,0.03138618689785094,0.11260826744437025,0.30714285714285716,-0.050627059854011204,0.11538704793405659,-0.013971305404978212,0.09141707945052377,-0.10244198099183209,7,21,12,23,17,11,61,4,0.4258218838497001,1
2025,12,Ohio State,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,10,0,12.69369952557112,9.9379598130363,2.7557397125348193,4,3,29,4.829811219534665,0.5793512548800546,0.21947217116775897,0.5434782608695652,0.18792577238456235,-1.7525085846904207,0.09716789371754103,-0.04735713265247375,0.23809523809523808,-0.13079465513347244,0.05305349334965444,-0.0674438620605989,0.18027507032527093,-0.05532628864587176,3,1,28,24,5,22,4,1,-1.664409384278116,-1
2025,12,Texas A&M,SEC,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,10,0,12.052046818371313,9.266591829535136,2.785454988836176,5,4,28,3.780115929528603,0.36123008972951776,0.18846838993399567,0.5384615384615384,0.17413872262876545,-0.9416819801655728,0.10405223639653577,0.17382381973564934,0.35294117647058826,-0.004172337328038865,0.04948119911426736,0.019369515985818653,0.09651624333500426,-0.04900322681507229,15,30,40,26,52,26,101,18,0.77737348045655,0
2025,12,Miami,ACC,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,10,0,11.33120888097834,4.194167940048068,7.137040940930271,6,23,4,2.93766627482494,0.35918385855422447,0.14704402374163528,0.4866666666666667,0.1412685736320918,-1.3447302415671174,0.08614943214787198,-0.002264855765313409,0.38953488372093026,0.0490575322783247,0.009180273026803451,-0.07847739069985372,0.1082614801561525,-0.11302797036067509,35,31,62,58,14,19,10,32,2.3699060294209175,1
2025,12,James Madison,Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,0,10.776047146871,5.378067882548456,5.397979264322545,7,15,9,3.3119700625408406,0.2965532840363678,0.26674066174426825,0.528,0.16204724049223626,-1.3123437560241775,0.09972304040532301,0.011071895142890895,0.3488372093023256,-0.010319815012417475,0.08558486306336387,-0.05952232008049486,0.07311841373934051,-0.08357904096815047,23,51,17,32,18,23,13,16,-0.007905752134089283,-1
2025,12,Washington,Big Ten,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,10,0,10.220541411754956,6.187490842500124,4.033050569254832,8,10,17,4.102356855119868,0.4066782153723431,0.2824441081157561,0.6106194690265486,0.2479640893785565,-1.175868430901837,0.1504240147718298,-0.0010034663619908483,0.4444444444444444,0.07967615451631704,0.06578784111815293,-0.0576391582976444,0.09151224923249827,-0.03562369496833586,10,16,15,9,34,47,11,70,2.7579722520791776,7
2025,12,Toledo,Mid-American,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,10,0,9.235434512249054,3.3301949683547187,5.905239543894334,9,29,7,3.0383781296776924,0.30649819008921764,0.13624320945004315,0.48872180451127817,0.12386286908470599,-1.8711983560421634,-0.03298392553406627,-0.03613883709969502,0.2898550724637681,-0.06768912176504402,-0.011878146721559103,-0.07274704131981341,0.058882631970274,-0.13043631643036768,32,48,68,55,2,1,6,3,2.426327302727488,10
2025,12,Utah,Big 12,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,10,0,9.21593168344938,4.96440687483471,4.251524808614669,10,18,13,3.374217816777539,0.39074996946750656,0.3600411128607495,0.5948275862068966,0.23178751618327084,-0.9574127138359197,-0.027241645600626946,0.13907975230401054,0.4122137404580153,0.05249965626413879,0.14378178948408823,3.665045864838295e-4,0.08536026911800039,-0.12778106806341025,21,18,2,13,48,2,79,42,0.395999765217633,-2
