season,week,team,QBID,QBname,off_rt,def_good,power,recent_QBID,recent_QBname,qb_value,career_starts,power_final,hfa,off_wepa,def_wepa,off_epa,def_epa,off_pass_epa,def_pass_epa,off_rush_epa,def_rush_epa,off_eckel_rate,def_eckel_rate,off_success,def_success,proe,def_proe,games,team_name,conference,division,logo,power_rank,off_rank,def_rank,off_wepa_rank,def_wepa_rank,off_epa_rank,def_epa_rank,off_pass_epa_rank,def_pass_epa_rank,off_rush_epa_rank,def_rush_epa_rank,off_eckel_rank,def_eckel_rank,off_success_rank,def_success_rank,power_change,rank_change
2026,2,CHI,00-0039918,Caleb Williams,4.787474256101126,0.29998298019699554,5.087457236298121,00-0039918,Caleb Williams,1.7776733673100469,38,6.8651306036081685,2.179273653801746,38.38731806272401,2.3368619623897673,0.36051129062820225,0.12961469195475936,0.5509652428242611,0.24241036762338047,0.1428496309755636,-0.10623081171599386,0.6428571428571429,0.5384615384615384,0.5333333333333333,0.47058823529411764,-0.017077317039171855,0.030798255082438972,1,Chicago Bears,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png,1,1,17,1,20,2,24,4,24,2,14,4,22,4,22,5.518479862826651,11
2026,2,BAL,00-0034796,Lamar Jackson,3.646603524715802,-0.682855138927648,2.963748385788154,00-0034796,Lamar Jackson,2.350877935449013,117,5.314626321237167,2.179273653801746,20.220593628496484,-9.936243143758245,0.2087075678083191,-0.22460371495143636,0.3159161839321314,-0.4094767222276248,0.1014989516845068,0.11595182476785819,0.5384615384615384,0.3333333333333333,0.46875,0.42592592592592593,-0.05824180081253871,-0.0407252115783868,1,Baltimore Ravens,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png,2,3,23,4,7,6,6,7,3,6,28,10,5,12,13,3.0101325209044134,3
2026,2,KC,00-0033873,Patrick Mahomes,1.729479613442443,1.855068542932861,3.584548156375304,00-0033873,Patrick Mahomes,1.0172071754218157,149,4.60175533179712,2.179273653801746,7.236037086022677,-11.33615606972876,0.11825513521533026,-0.3776871638594694,-0.013778208537277266,-0.44169753262221484,0.25854056295247574,-0.2283296367463966,0.5,0.18181818181818182,0.4090909090909091,0.36,0.0037854040098009687,0.017408612966537475,1,Kansas City Chiefs,AFC,AFC West,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png,3,11,5,12,5,11,1,20,2,1,7,12,1,22,4,2.897592612217548,7
2026,2,BUF,00-0034857,Josh Allen,1.7560241298063808,0.7378794732067733,2.493903603013154,00-0034857,Josh Allen,2.004152262757969,141,4.498055865771123,2.179273653801746,30.526287567234995,7.904548915983663,0.2779688222422192,0.07125204504809955,0.5556850187087233,0.09770008864808576,-0.26284692877149946,0.03030023560295963,0.6363636363636364,0.45454545454545453,0.4107142857142857,0.4810126582278481,0.036587931351228196,-0.0476101552949676,1,Buffalo Bills,AFC,AFC East,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png,4,10,13,2,25,4,20,3,17,28,24,5,16,21,24,1.5376967106383725,-1
2026,2,JAX,00-0036971,Trevor Lawrence,3.643578331018425,-0.4785623522362261,3.1650159787821988,00-0036971,Trevor Lawrence,0.989761888261491,82,4.1547778670436895,2.179273653801746,17.701447754999215,-5.053502819071291,0.30980750572774163,-0.20567135589170674,0.7306872199941427,-0.2569096055738317,-0.05301983415708681,-0.11937535642707524,0.75,0.5555555555555556,0.5925925925925926,0.43137254901960786,-0.04287695801920361,-0.09681628030889175,1,Jacksonville Jaguars,AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png,5,4,20,5,10,3,7,1,5,13,12,2,25,1,16,1.887300143975811,2
2026,2,NYG,00-0040691,Jaxson Dart,3.7275580798904873,0.5246972772537668,4.252255357144254,00-0040691,Jaxson Dart,-0.7870453119748311,14,3.4652100451694228,2.179273653801746,23.80228013531601,10.210840805586788,0.36287164812639466,0.27086692074301716,0.6670460968505888,0.42457903913937783,0.058697199402200625,-0.09985054127173498,0.8571428571428571,0.42857142857142855,0.5909090909090909,0.4827586206896552,-0.043353268481565246,0.022889000588449938,1,New York Giants,NFC,NFC East,https://a.espncdn.com/i/teamlogos/nfl/500/nyg.png,6,2,16,3,27,1,28,2,28,7,15,1,13,2,25,5.221255652721822,17
2026,2,HOU,00-0039163,C.J. Stroud,-0.09708740359910273,2.3433346709006835,2.2462472673015808,00-0039163,C.J. Stroud,1.0005150107154792,53,3.24676227801706,2.179273653801746,12.447887389715573,13.397655937692756,0.07125204504809955,0.2779688222422192,0.09770008864808576,0.5556850187087233,0.03030023560295963,-0.26284692877149946,0.45454545454545453,0.6363636363636364,0.4810126582278481,0.4107142857142857,-0.0476101552949676,0.036587931351228196,1,Houston Texans,AFC,AFC South,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png,7,18,2,8,31,13,29,16,30,9,5,17,28,9,12,1.0491328967950238,1
2026,2,DET,00-0033106,Jared Goff,-0.5087961887912833,1.8722813790874588,1.3634851902961755,00-0033106,Jared Goff,1.7706213292540058,162,3.1341065195501816,2.179273653801746,2.5872362830823543,3.177983971315404,-0.02719507810156922,0.018900093602175944,0.01218403986281949,0.051645186644107194,-0.07204351800545636,-0.07506408643119199,0.35714285714285715,0.35714285714285715,0.45454545454545453,0.43820224719101125,-0.024009797383438457,0.04094672169197689,1,Detroit Lions,NFC,NFC North,https://a.espncdn.com/i/teamlogos/nfl/500/det.png,8,19,4,18,23,19,16,19,16,14,18,24,8,13,18,0.2957058599574447,-4
2026,2,LA,00-0026498,Matthew Stafford,0.6415209861322122,1.8548979081173393,2.4964188942495515,00-0026498,Matthew Stafford,0.4232178604119742,159,2.919636754661526,2.179273653801746,-4.076883369784541,8.99005968833034,-0.22551306308208344,0.1901816645862307,-0.26990783286534925,0.2269689333045304,-0.1712527889025363,0.14156991663704893,0.4444444444444444,0.4444444444444444,0.43333333333333335,0.5692307692307692,-0.14808329964677494,0.05117313105326433,1,Los Angeles Rams,NFC,NFC West,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png,9,15,6,25,26,28,26,29,22,24,30,18,14,16,30,-0.5532346471140346,-8
2026,2,CIN,00-0036442,Joe Burrow,2.88572781624878,-2.914062608187598,-0.02833479193881816,00-0036442,Joe Burrow,1.9998146838933886,86,1.9714798919545704,2.179273653801746,3.301895670349708,5.962289757680113,0.0013344871423385763,-0.08135597741661169,-0.03035912743762582,-0.16839157483059206,0.04950878130388446,0.11831392253310803,0.6666666666666666,0.625,0.47619047619047616,0.5178571428571429,0.057167117084775655,0.0264827020998512,1,Cincinnati Bengals,AFC,AFC North,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png,10,5,30,16,24,18,12,21,8,8,29,3,27,10,28,1.088143953297868,5
